name,lat,lng,damage
เดอะ ลอฟท์ เย็นอากาศ,13.70873088,100.545616,1
บ้านปิยะสาธร,13.72273687,100.5374037,1
Belvedere Rama 3,13.68676756,100.5287034,1
โครงการเดอะสตาร์ เอสเตท แอท พระราม3,13.67480654,100.5347676,1
คอนโดวันสาทร? ซ.เย็นอากาศ?2,13.71252603,100.5490408,1
Family Town (แฟมมิลี่ ทาวน์) ซอยอินทามระ 29,13.79214778,100.5591081,1
Family Complex (แฟมมิลี่ คอมเพล็กซ์) ซอยอินทามระ 29,13.79131824,100.5592514,1
Royal Tower 3 (รอแยล ทาวเวอร์ 3),13.79195927,100.5587529,1
สะพานควาย คอนโดมิเนียม ประดิพัทธ์ 23,13.79178082,100.5475135,1
Life @ Phahon-Ari,13.78937447,100.5475709,1
QUINTARA MHy'GEN RATCHADA - HUAI KHWANG,13.77588025,100.5743622,1
Diamond Ratchada (ไดมอนด์ รัชดา),13.77591671,100.5745198,1
KnightsBridge Space - ไนท์บริดจ์ สเปซ พระราม 9,13.75652595,100.5617878,1
พาโนวิลล์ คอนโดมิเนียม (Pano Ville Condominium),13.80075089,100.5738577,1
IDEO Ratchada - Sutthisan (ไอดีโอ รัชดา - สุทธิสาร),13.79003522,100.5700823,1
คอนโด กลางกรุงรีสอร์ท B1-B4,13.77455453,100.5695803,1
คอนโด เมโทร สกาย รัชดา,13.78441094,100.5712318,1
คอนโด ชาโตว์ อินทาว์ รัชดา 13-1 และ 13-2,13.78262922,100.5711487,1
แฟลตดินแดง 8 ชั้น,13.75904927,100.5533239,1
คอนโดชาโตว์อินทาวน์รัชดา 19,13.79949148,100.5738691,1
Socio Inthamara : โซซิโอ อินทามระ,13.78890911,100.5523738,1
เดอะ โมเมนต์ รัชดา 19,13.79717349,100.5718239,1
อาคาร อดามาส พหลโยธิน คอนโดมิเนียม,13.78028917,100.5390203,1
สมาคมคนตาบอดแห่งประเทศไทย,13.76632006,100.5480042,1
คอนโด เดอะฟ้า อารีย์ 4,13.78313692,100.5424057,1
คอนโด วิชแอดสยาม,13.75241503,100.528013,1
คอนโดกลางกรุง รีสอร์ท อาคาร A1,13.7749531,100.5692846,1
คอนโดซิลค์ พหลโยธิน 9,13.78771541,100.5436995,1
Sense Phaholyothin (เซนส์ พหลโยธิน),13.78974026,100.5523044,1
Chewathai Interchange คอนโดชีวาทัย อินเตอร์เชนจ์,13.80724079,100.5294285,1
Chapter one Mid Town Ladprao 24 แชปเตอร์วัน มิดทาวน์,13.80719522,100.5731074,1
Premio Quinto (พรีมิโอ ควินโต),13.83629176,100.572913,1
Life Ladprao : ไลฟ์ ลาดพร้าว,13.81790538,100.563228,1
Wire Ratchada 19 (คอนโด ไวร์ รัชดา 19),13.80074898,100.5734477,1
ลุมพินีเพลส เตาปูน อินเตอร์เชนจ์,13.80887166,100.5306426,1
พาร์ค เรสซิเด้นซ์ แอทพหล (residence พหลโยธิน 67),13.889927,100.5989625,1
คอนโดเอ็มเฮอริเทจ พหลโยธิน59,13.88661956,100.5946642,1
อาคาร บราวน์ หพลโยธิน 67,13.88742022,100.6025982,1
อาคาร รามา จิวเวลรี่,13.72300824,100.5194973,1
อาคาร สีดา,13.72332003,100.5191797,1
Fairview Tower (แฟร์วิว ทาวเวอร์),13.73284544,100.5637717,1
The rise สุขุมวิท39,13.73672427,100.572982,1
อาคารชุด 59 เฮอริเทจ,100.5815498,13.7248456,1
ไดมอนด์ทาวเวอร์ สีลม,13.7256468,100.5299635,1
คอนโดอรุณโรจน์นิมิตร 31,13.73370519,100.5639713,1
โรงแรมไลฟ์ สุขุมวิท 8 แบงค็อก (lyf Sukhumvit 8 Bangkok),13.74017292,100.5568762,1
โครงการ เดอะเรสซิเดนเซส 38 (คอนโดมิเนี่ยม),13.71768975,100.5795804,1
Ascott Thonglor Bangkok,13.72336525,100.5820837,1
อาคารเอช สุขุมวิท 43 คอนโดมิเนียม,13.73368098,100.5739021,1
คอนโดบ้านสิริทเวนตี้โฟร์,13.72698549,100.5672118,1
Somerset Sukhumvit 71,13.73763364,100.5978254,1
คอนโด คิว ประสานมิตร,13.74415509,100.568761,1
เดอะเน็กซ์  การ์เด้นท์  สูท,13.70456815,100.5989019,1
อาคาร Liberty Park condominium,13.74235506,100.5646598,1
คอนโด ควินทารา ภูมิ สุขุมวิท 39,13.7448937,100.5740487,1
อาคาร โนเบิล ซีโรไนน์,13.74130265,100.5497134,1
อาคาร serio สุขุมวิท 50,13.7059443,100.5971435,1
อาคาร ลาเมซอง ร่วมฤดี,13.7398172,100.5502527,1
the origin ram209,13.8119233,100.7331513,1
อาคารชุดลุมพินี เซ็นเตอร์ นวมินทร์,13.77910109,100.6436321,1
โครงการพลัมคอนโดสะพานใหม่ Station ซอยพหลโยธิน 52,13.89460186,100.6130636,1
อาคารคอนโด COMMON TU,14.0665488,100.6146242,1
"""ซอย 23 คลองหกตะวันตก บ.13/11 หมู่4",14.07331045,100.7302831,1
บ้านพักอาศัย 2 ชั้น เลขที่ 20/102 หมู่ 6 ซอยสุสวาท 8 ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี,13.97450165,100.6900824,1
69/359 หมู่ 3 หมู่บ้านฟ้ารังสิต อ.ธัญบุรี จ.ปทุมธานี,13.99752564,100.6947507,1
โรงเรียนกวดวิชา Super Genius,13.99128256,100.6023215,1
คอนโดหมู่บ้านบัณฑิตอินเตอร์ทาว์น ,13.96339725,100.6519283,1
บ้าน คุณสมัย หมู่บ้านพฤกษา67 เลขที่ 67/478 หมู่6 ต.คูคต อ.ลำลูกกา จ.ปทุมธานี,13.97396343,100.6517579,1
อาคาร เจคอนโด พระราม2 อาคารเอ,13.66273002,100.4337856,1
"""บริษัทอาร์ บี เอส แมนูแฟคตอริ่ง จำกัด ที่อยู่ 31/2-3 หมู่ 17 ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ""",13.63931784,100.7957761,1
เดอะ เพรสซิเด้นท์ สุขุมวิท สมุทรปราการ,13.58568611,100.6093879,1
คอนโดบ้านเทพารักษ์ 2 (อาคาร 4),13.62449192,100.6298372,1
อาคารชุด จี เฮาส์ คอนโดมิเนียม,13.65289633,100.6034384,1
